,CHRISTIAN,CLARE,HEATHER,IAN,JACK,JANE,MAX,MINTY,OTHER,PHIL,RONNIE,ROXY,SEAN,SHIRLEY,STACEY,TANYA,
CHRISTIAN,0.9578725949274250,0.9115465428939440,0.9039158290363430,0.9101658822128920,0.8328475809250050,0.9255744438822720,0.8517631075611110,0.909515558255714,0.681649683981237,0.8610732549142510,0.8545334851207570,0.8759256284049590,0.8009783752916570,0.8754794516243640,0.8446191160316700,0.8131781067452340,1.0
CLARE,0.8413321438433930,0.8980771409918380,0.9236677403214510,0.777287029954727,0.8703634566029940,0.8797443352478140,0.9022508924160550,0.8377568122127230,0.7654518228552060,0.8622961733114840,0.8816577293760770,0.8619491912113950,0.8291474639647770,0.9528955945426330,0.8473492182655410,0.8019048875878800,1.0
HEATHER,0.8678093397336770,0.8694010104093090,0.9585866778743050,0.8255726631690410,0.8897140482475040,0.8744742307736750,0.9229431986508400,0.9181692855053110,0.7968533761833210,0.8867328627982500,0.9182649453704480,0.9157345620535110,0.9029361447826210,0.9143514244009680,0.8896379605551850,0.8735718338949810,1.0
IAN,0.9476314782826730,0.8985995484065640,0.8945278004934900,0.9021326314816290,0.8903475555053800,0.9379201355250780,0.8943962416193590,0.8845683559013560,0.737428174137697,0.8594514726449570,0.8961774389708800,0.92644300946979,0.8663049577090010,0.888060549444334,0.8658493873058090,0.8502709527592000,1.0
JACK,0.8272225053211890,0.8365714677520060,0.8911266903680330,0.8184998102159110,0.9345106965928340,0.865523848860378,0.9125236948477960,0.8686985367039310,0.7426339592860350,0.91063065288826,0.9667850330112970,0.9270807104081430,0.8759613417345940,0.8428499920501240,0.8595671460728280,0.8681099361503350,1.0
JANE,0.9435673370855730,0.8917754267366980,0.9073731774724660,0.8990925089390210,0.878135398057047,0.9512107546747480,0.9006534715460450,0.9046765392573750,0.7408661575490170,0.8844544645213330,0.8853946766441440,0.9156275271849330,0.8429759438932130,0.9020726489011770,0.8724044770258970,0.865317478938509,1.0
MAX,0.9013526574210040,0.8930568519875810,0.8703643156047820,0.8068666615767290,0.8480275670315330,0.8916098752002620,0.9147733589676240,0.8540736767891700,0.7097740965904770,0.910625422542523,0.9277248778815250,0.8977280684085770,0.9145975847333960,0.8873323996627620,0.8686193519787110,0.864531691806687,1.0
MINTY,0.9087414457806460,0.9336610970151270,0.937367850249954,0.8224405737664180,0.8431801545396850,0.8622534085458980,0.8654123214153520,0.9384326918269430,0.7224731811340790,0.8655593833287530,0.8857138966873710,0.8894330954702200,0.8359014378170530,0.9105946127506890,0.8336536664530330,0.8087115489339120,1.0
OTHER,0.7926069531986340,0.7645702372364460,0.8788332257462560,0.8117269964536500,0.8680396903084420,0.833302319444001,0.8504400798996470,0.8031783547406200,0.8873012146232000,0.9053753558761990,0.9160530974790020,0.8466552920658380,0.8500075479680650,0.889183586809515,0.8363393245438280,0.835940925837362,1.0
PHIL,0.8717403185030020,0.887692909969743,0.9225856406497960,0.8448150569281260,0.9157768152231490,0.900832980901352,0.9199254386853240,0.8933561493846530,0.7356976591320010,0.9372052090871430,0.9462702971134810,0.9339842966754340,0.8904219146122450,0.9105644041205630,0.8899943204511010,0.8418330065065600,1.0
RONNIE,0.9009090559151430,0.9052964209853940,0.9116621710557960,0.8514098724334310,0.8838664239259690,0.906746056873164,0.902326385835455,0.9050384778915900,0.6919075671950060,0.9163356133147320,0.9546073399873160,0.9047561491429960,0.8649849947445530,0.8794072760705380,0.8624233002819270,0.8227202313655990,1.0
ROXY,0.918948328928291,0.9233260413682190,0.9233699295320750,0.8576476769294200,0.8613565301393570,0.8887935817164030,0.8846311566092150,0.9279184006904990,0.7141689731204400,0.896165388733508,0.9154645261822980,0.9361700163995900,0.8549368381939670,0.8991978982244450,0.8665685947730320,0.8487417805290730,1.0
SEAN,0.8338132369390670,0.8063676350210060,0.8410194694691040,0.7959921834093140,0.8399297368663070,0.8507607647272970,0.8863289393327740,0.8343752423207330,0.7048927441962780,0.8591632425279990,0.8736510379648200,0.8657274251339500,0.9829073306618400,0.8829725512548140,0.8698938035072410,0.8411590383951390,1.0
SHIRLEY,0.8843548519654220,0.8656073477757860,0.9247357003371550,0.8340586849111730,0.8783830642717920,0.8765761907226020,0.9159422573809750,0.9334964313792200,0.7309113831318270,0.88624248954134,0.8895214025555660,0.9277705520835180,0.8785262815606030,0.8842037513436210,0.8946703696331120,0.9138767894507180,1.0
STACEY,0.8815156574629650,0.9048257518237640,0.9204905146007410,0.8247158652022430,0.8924123166172790,0.8663063159072620,0.8973144159992560,0.905847488983374,0.7505079470445460,0.8873515018215100,0.8995870303636450,0.8820237255708330,0.8852315692199740,0.9015617880812700,0.9363777620683230,0.8804218991279890,1.0
TANYA,0.8746466049662850,0.8655228351566720,0.8380212392492360,0.8076646678678380,0.8469452611830790,0.8897673819931250,0.9101984417777200,0.8405110282692080,0.7501603548663590,0.9064298386055200,0.9110442559437950,0.871177538321212,0.8814346454138190,0.878762489458669,0.9382313637825410,0.9012202575162670,1.0